Food Name,Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Starch (g),Total sugars (g),Cholesterol (mg)
,PROT,FAT,CHO,KCALS,STAR,TOTSUG,CHOL
,Protein,Fat,Carbohydrate,kcal,Starch,Total sugars,Cholesterol
"Bhaji, spinach and potato, homemade",3.6,14.1,13.4,192,11.9,1.6,0.0
"Bhaji, spinach, homemade",3.3,6.9,2.5,83,0.2,2.1,15.2
"Bhaji, turnip and onion, homemade",1.2,10.6,7.1,126,0.3,5.9,26.1
"Bhaji, turnip, homemade",1.3,16.4,6.5,179,0.6,5.4,40.2
"Bhaji, vegetable, Punjabi, with butter",3.5,7.2,8.2,108,1.5,5.5,17.0
"Bhaji, vegetable, Punjabi, with vegetable oil",3.5,8.6,8.2,120,1.5,5.5,0.0
"Bhaji, vegetable, with butter, homemade",1.9,15.3,10.3,185,5.1,4.7,38.5
"Bhaji, vegetable, with rapeseed oil, homemade",1.8,18.5,10.1,213,5.1,4.6,0.0
Bicarbonate of soda,0.0,0.0,0.0,0,0.0,0.0,0.0
"Biryani, chicken, takeaway",8.5,7.4,16.6,163,11.8,0.9,20.6
"Biscuits, cheese flavoured",10.5,28.1,53.2,494,50.5,2.7,18.4
"Biscuits, cookies, chocolate chip, American style",5.2,21.3,60.6,440,20.0,40.5,35.5
"Biscuits, cookies, chocolate chip, standard",5.4,24.9,60.0,471,30.0,30.0,2.9
"Biscuits, digestive, half coated in chocolate",6.3,25.7,61.8,488,37.5,24.3,6.1
"Biscuits, digestive, plain",6.2,21.3,65.6,463,48.1,17.5,2.4
"Biscuits, digestive, with oats, plain",6.4,22.9,66.4,480,40.5,25.9,9.5
"Biscuits, fully coated with chocolate",6.4,27.2,62.8,506,23.5,39.3,16.6
"Biscuits, fully coated with chocolate, with cream",5.2,28.2,59.0,496,21.6,37.4,18.3
"Biscuits, fully coated with chocolate, with marshmallow",4.5,19.0,59.9,413,18.5,41.4,5.7
"Biscuits, ginger nuts",4.8,15.7,75.3,443,44.0,31.3,2.6
"Biscuits, gingernut, homemade",4.5,19.8,70.0,459,37.4,32.6,49.4
"Biscuits, iced",4.8,10.8,77.1,406,32.5,44.6,6.9
"Biscuits, jam filled",5.2,14.4,74.0,428,41.0,33.0,4.8
"Biscuits, melting moments, homemade",3.4,37.1,57.8,564,37.1,N,94.8
"Biscuits, oat based, chocolate, half coated",6.6,24.9,63.9,489,30.8,33.1,12.5
"Biscuits, plain, homemade",6.2,22.1,66.0,471,39.7,26.4,95.9
"Biscuits, plain, reduced fat",6.6,13.5,75.7,432,54.5,21.2,1.7
"Biscuits, sandwich, cream",5.0,23.3,65.8,477,36.0,29.9,2.7
"Biscuits, semi-sweet",6.4,15.1,75.4,444,55.1,20.3,4.9
"Biscuits, short or sweet, half coated in chocolate",6.0,24.2,70.3,506,34.9,35.5,15.5
"Biscuits, short, sweet",5.6,20.9,71.7,479,48.0,23.8,10.2
"Biscuits, wholemeal, homemade",12.7,7.5,66.6,369,62.5,4.2,15.8
"Black gram, chilki urad dahl, dried, split, boiled in unsalted water",8.0,0.4,13.6,90,13.0,0.3,0.0
"Black gram, chilki urad dahl, split, dried, raw",26.0,1.4,42.5,287,39.3,1.3,0.0
"Black gram, duhli urad dahl, split, dried, boiled in unsalted water",8.1,0.4,15.1,96,14.5,0.3,0.0
"Black gram, duhli urad dahl, split, dried, raw",27.2,1.4,44.0,298,40.8,1.3,0.0
"Black gram, urad gram, whole, dried, boiled in unsalted water",7.8,0.4,13.6,89,13.0,0.3,0.0
"Black gram, urad gram, whole, dried, raw",24.9,1.4,40.8,275,37.6,1.3,0.0
"Black pudding, dry-fried",10.3,21.5,16.6,297,16.4,0.2,68.0
"Black pudding, raw",9.1,20.6,14.8,277,14.6,0.2,43.0
"Blackberries, raw",1.1,0.2,5.6,27,0.0,5.6,0.0
"Blackberries, stewed with sugar",0.7,0.2,13.8,56,0.0,13.8,0.0
"Blackberries, stewed without sugar",0.8,0.2,4.4,21,0.0,4.4,0.0
"Blackberry and apple, stewed with sugar",0.4,0.2,15.8,63,Tr,15.8,0.0
"Blackberry and apple, stewed without sugar",0.5,0.2,6.4,28,Tr,6.4,0.0
"Blackcurrant juice drink/squash, diluted",0.0,0.0,7.2,27,Tr,7.2,0.0
"Blackcurrant juice drink/squash, undiluted",0.1,0.0,54.2,204,Tr,54.2,0.0
"Blackcurrants, raw",0.9,Tr,6.6,28,0.0,6.6,0.0
"Blackcurrants, stewed with sugar",0.7,Tr,15.0,58,0.0,15.0,0.0
"Blackcurrants, stewed without sugar",0.8,Tr,5.6,24,0.0,5.6,0.0
"Blancmange, homemade",3.3,1.6,18.1,96,6.4,11.7,5.6
"Bloater, flesh only, grilled",23.5,17.4,0.0,251,0.0,0.0,66.0
"Bloater, flesh only, grilled, weighed with bones and skin",15.3,11.3,0.0,163,0.0,0.0,43.0
Blueberries,0.9,0.2,9.1,40,Tr,9.1,0.0
"Boal, raw",15.4,2.7,0.0,86,0.0,0.0,N
"Bolognese sauce (with meat), homemade",11.8,11.6,2.8,161,0.1,2.6,33.4
"Bolognese sauce (with meat), made with extra lean minced beef, homemade",13.0,4.9,2.8,108,0.1,2.6,20.6
Bombay duck,61.7,4.0,0.0,283,0.0,0.0,N
Bombay mix,18.8,32.9,35.1,503,32.8,2.3,0.0
"Bouillabaisse, homemade",11.3,10.5,2.0,139,0.1,1.7,N
Bounty bar and own brand equivalents,3.7,26.3,61.0,480,10.6,50.4,4.0
"Brain, lamb, boiled",11.6,8.8,0.0,126,0.0,0.0,2200.0
"Bran, wheat",14.8,5.5,20.6,186,18.3,2.3,0.0
"Brandy snaps, homemade",2.8,22.5,72.1,489,22.0,50.1,57.4
Brawn,12.4,11.5,0.0,153,0.0,0.0,52.0
"Brazil nuts, kernel only",14.3,68.2,3.1,683,0.7,2.4,0.0
"Brazil nuts, kernel only, weighed with shells",6.5,31.4,1.4,314,0.3,1.1,0.0
"Bread pudding, homemade",5.9,7.7,48.0,289,14.7,33.3,30.1
"Bread rolls, brown, crusty",10.3,2.8,50.4,255,48.5,1.9,0.0
"Bread rolls, brown, soft",9.9,3.2,44.8,236,42.0,2.8,0.0
"Bread rolls, malted wheat",10.0,4.2,42.7,238,39.7,3.0,0.0
"Bread rolls, white, crusty",9.2,2.2,54.9,262,52.1,2.7,0.0
"Bread rolls, white, soft",9.3,2.6,51.5,254,48.8,2.6,0.0
"Bread rolls, wholemeal",10.4,3.3,46.1,244,43.5,2.6,0.0
"Bread sauce, made with semi-skimmed milk, HOMEMADE",4.0,2.5,15.6,97,9.8,5.4,6.9
"Bread sauce, made with skimmed milk, homemade",4.2,1.4,15.5,88,10.0,5.1,2.7
"Bread sauce, made with whole milk, homemade",4.1,3.7,15.4,108,10.0,5.0,8.4
"Bread, brown, average",7.9,2.0,42.1,207,38.7,3.4,0.0
"Bread, brown, toasted",10.1,2.6,54.0,266,49.6,4.4,0.0
"Bread, ciabatta",10.2,3.9,52.0,271,48.9,3.1,0.0
"Bread, garlic and herb, retail",7.0,16.7,45.1,348,42.2,2.9,31.2
"Bread, malt, fruited",7.8,2.3,64.9,295,42.3,22.6,0.3
"Bread, malted wheat",9.6,2.3,47.4,237,44.5,2.9,0.0
"Bread, naan, peshwari naan, takeaway and retail",7.6,7.9,39.8,251,38.2,1.6,40.6
"Bread, naan, retail",7.8,7.3,50.2,285,47.0,3.1,5.0
"Bread, pitta, white",9.1,1.3,55.1,255,52.2,3.0,0.0
"Bread, seeded",9.9,7.4,43.8,270,40.0,3.8,0.0
"Bread, soda, made with white flour, homemade",7.6,1.6,57.3,261,55.0,2.3,2.3
"Bread, wheatgerm",11.1,3.1,39.5,220,35.8,3.8,0.0
"Bread, white, average",8.7,2.1,48.7,236,45.8,3.0,0.0
"Bread, white, crusty bloomer, unsliced, fresh, large",9.2,1.6,52.3,247,49.5,2.8,0.0
"Bread, white, Danish style",9.1,2.7,44.5,228,41.6,3.0,0.0
"Bread, white, farmhouse or split tin",9.0,2.0,49.9,241,47.0,2.9,0.0
"Bread, white, French stick",9.0,1.9,56.1,263,53.3,2.8,0.0
"Bread, white, premium",8.3,2.3,47.0,230,44.4,2.7,0.0
"Bread, white, sliced",7.9,1.6,46.1,219,42.7,3.4,0.0
"Bread, white, sliced, fried in rapeseed oil",8.1,32.2,46.8,498,43.3,3.5,0.0
"Bread, white, toasted",9.7,2.0,56.2,267,52.1,4.1,0.0
"Bread, white, 'with added fibre'",8.7,2.2,45.1,224,41.6,3.5,0.0
"Bread, white, 'with added fibre', toasted",10.4,2.6,53.7,266,49.5,4.2,0.0
"Bread, wholemeal, average",9.4,2.5,42.0,217,39.3,2.8,0.0
"Bread, wholemeal, toasted",11.2,2.9,49.2,255,46.0,3.2,0.0
"Breadfruit, boiled in unsalted water",1.6,0.4,29.0,119,27.5,1.5,0.0
"Breadfruit, raw",1.3,0.3,23.1,95,21.9,1.2,0.0
"Breadnut seeds, dried",8.6,1.7,73.8,367,N,N,0.0
"Breadsticks, plain",10.9,8.1,72.9,389,69.6,3.3,6.2
"Breakfast cereal, bran flakes, fortified",9.6,2.2,73.3,333,52.3,21.0,0.0
"Breakfast cereal, bran type cereal, fortified",12.4,3.4,49.7,267,29.7,20.0,0.1
"Breakfast cereal, cornflakes, crunchy / honey nut coated, fortified",5.3,4.2,86.6,384,49.2,37.4,0.0
"Breakfast cereal, cornflakes, fortified",7.1,0.8,90.9,376,83.6,7.3,0.0
"Breakfast cereal, cornflakes, frosted, fortified",4.7,0.5,87.0,350,48.7,38.3,0.0
"Breakfast cereal, cornflakes, unfortified",7.1,0.8,91.4,378,88.4,3.0,0.0
"Breakfast cereal, crunchy clusters type, without nuts, unfortified",7.2,11.6,71.0,399,45.7,25.3,N
"Breakfast cereal, crunchy/crispy muesli type cereal, with nuts, unfortified",8.4,20.5,61.9,450,38.7,23.1,N
"Breakfast cereal, fruit and fibre type, fortified",8.0,5.8,70.3,348,44.1,26.2,0.1
"Breakfast cereal, honey loops and hoops, including Honey and Nut Cheerios, fortified",6.6,3.1,78.7,349,44.0,34.7,0.0
"Breakfast cereal, instant hot oat, plain, raw, fortified",11.0,7.3,64.6,352,64.1,0.5,0.2
"Breakfast cereal, malted flake, fortified",11.8,1.4,83.4,373,66.2,17.2,0.1
"Breakfast cereal, malted wheat, fortified",8.7,2.3,75.7,339,55.4,20.3,0.1
"Breakfast cereal, multigrain hoops, fortified",7.9,3.8,80.7,368,58.3,22.4,0.0
"Breakfast cereal, Oat, instant, flavoured, unfortified, made up with semi-skimmed milk",4.4,2.4,15.6,98,7.8,7.8,2.6
"Breakfast cereal, oat, instant, plain, fortified, cooked, made up with semi-skimmed milk",4.9,2.5,14.2,95,10.0,4.2,2.6
"Breakfast cereal, puffed wheat, honey coated, fortified",4.7,1.2,86.8,355,N,36.8,0.0
"Breakfast cereal, puffed wheat, unfortified",13.2,2.0,72.0,341,71.8,0.2,0.0
"Breakfast cereal, rice, chocolate flavoured, fortified",4.6,2.3,89.6,375,51.9,37.7,0.1
"Breakfast cereal, rice, toasted/crisp, fortified",5.7,1.0,91.2,374,78.8,12.4,0.0
"Breakfast cereal, Ricicles, Kellogg's",3.8,0.4,95.4,377,54.2,39.1,0.0
"Breakfast cereal, shredded wheat type with fruit, unfortified",8.4,1.7,74.0,326,55.3,18.7,0.0
"Breakfast cereal, shredded wheat type, unfortified",10.9,2.5,71.2,333,70.6,0.6,0.0
"Breakfast cereal, Shredded Wheat, honey nut, Nestle",9.8,5.4,72.8,361,53.3,19.6,0.0
"Breakfast cereal, wheat and multigrain, chocolate flavoured, fortified",6.5,4.1,83.2,375,52.7,30.5,0.2
"Breakfast cereal, wheat biscuits, Weetabix type, fortified",10.5,1.9,72.7,332,68.8,3.9,0.0
"Breakfast cereal, wheat biscuits, Weetabix type, unfortified",  10.5,1.9,  72.7, 332,68.8,   3.9,0.0
"Bream, Sea, raw",17.5,2.9,0.0,96,0.0,0.0,38.0
"Broccoli in cheese sauce, made with semi-skimmed milk, homemade",7.3,7.5,5.9,118,2.5,3.0,19.7
"Broccoli in cheese sauce, made with skimmed milk, homemade",7.3,6.9,5.9,114,2.5,3.0,18.9
"Broccoli in cheese sauce, made with whole milk, homemade",7.3,8.2,5.8,124,2.5,2.9,22.0
"Broccoli, green, boiled in salted water",3.3,0.5,2.8,28,0.7,1.6,0.0
"Broccoli, green, boiled in unsalted water",3.3,0.5,2.8,28,0.7,1.6,0.0
"Broccoli, green, raw",4.3,0.6,3.2,34,0.6,1.9,0.0
"Broccoli, green, steamed",4.1,0.5,3.5,34,0.8,2.0,0.0
"Broccoli, purple sprouting, boiled in unsalted water",2.1,0.6,1.3,19,0.1,0.9,0.0
"Broccoli, purple sprouting, raw",3.9,1.1,2.6,35,0.2,2.1,0.0
Brown fruity sauce,1.2,0.1,22.2,98,2.6,19.6,0.0
"Brown sauce, reduced salt/sugar",   0.7,0.1,  20.0,88,5.8,  14.1,0.0
"Brownies, chocolate, homemade",6.2,30.8,54.3,506,8.2,46.1,111.8
"Brussels sprouts, boiled in unsalted water",3.1,0.4,4.2,32,0.3,3.7,0.0
"Brussels sprouts, raw",3.5,1.4,4.1,42,0.8,3.1,0.0
"Bubble and squeak, fried in rapeseed oil, homemade",1.7,9.0,10.1,126,8.5,1.6,0.0
"Bubble and squeak, fried in sunflower oil, homemade",1.7,9.1,10.2,128,8.6,1.6,0.0
"Buckwheat, groats",8.1,1.5,84.9,364,84.5,0.4,
"Build up, powder, shake, assorted flavours",20.5,0.7,63.0,325,Tr,62.0,12.0
"Build-up powder, soup, assorted flavours",14.4,14.9,57.3,407,26.4,14.3,N
"Burger, beef, 62-85% beef, raw",15.9,15.2,4.9,219,2.2,2.7,65.7
"Burger, beef, 62-85%, beef, grilled",18.3,13.8,8.5,229,6.4,2.1,60.0
"Burger, beef, 98-99% beef, fried in vegetable oil",28.5,23.9,0.1,329,Tr,0.1,96.0
"Burger, beef, 98-99% beef, grilled",26.5,24.4,0.1,326,Tr,0.1,75.0
"Burger, beef, 98-99% beef, raw",17.1,24.7,0.1,291,Tr,0.1,76.0
"Burger, beef, fried in rapeseed oil, homemade",23.9,21.9,1.1,297,Tr,0.8,107.7
"Burger, beef, grilled, homemade",25.0,20.3,1.1,288,Tr,0.9,112.8
"Burger, beef, with bun, fried in rapeseed oil, homemade",21.0,18.6,10.3,291,9.0,1.1,87.0
"Burger, beef, with bun, grilled, homemade",21.9,17.4,10.3,283,9.0,1.1,91.1
"Burger, Big Mac, takeaway",13.1,11.2,20.9,232,17.0,3.9,23.0
"Burger, cheeseburger, takeaway",13.6,10.4,28.3,254,22.6,5.7,32.0
"Burger, chicken, takeaway",12.5,10.8,23.4,235,N,N,N
"Burger, chicken/turkey, coated, retail, grilled",14.2,15.5,18.7,266,17.7,0.9,35.7
"Burger, hamburger, takeaway",13.5,8.3,31.2,246,24.6,6.6,34.6
"Burger, Quarter Pounder with cheese, takeaway",16.3,13.2,21.2,263,15.6,5.5,33.0
"Burger, Whopper, takeaway",10.4,12.1,19.2,223,15.0,4.2,25.0
"Butter, salted",0.6,82.2,0.6,744,0.0,0.6,213.2
"Butter, spreadable (75-80% fat)",0.4,79.1,0.5,715,0.0,0.5,153.0
"Butter, spreadable, light (60% fat)",0.5,60.2,0.8,547,0.0,0.8,110.7
"Butter, unsalted",0.6,82.2,0.6,744,0.0,0.6,213.0
"Butteroil, unsalted",0.6,99.3,Tr,896,0.0,Tr,280.0
"Cabbage leaves, stuffed with lamb and rice, homemade",7.1,4.2,8.3,100,6.4,1.6,32.9
"Cabbage, average, boiled in unsalted water",1.1,0.2,2.8,17,0.0,2.8,0.0
"Cabbage, average, raw",1.8,0.2,4.4,26,0.0,4.4,0.0
"Cabbage, Chinese, raw",1.0,0.2,1.4,12,Tr,1.4,0.0
"Cabbage, green, boiled in unsalted water",1.5,0.2,2.3,17,0.0,2.3,0.0
"Cabbage, green, raw",2.4,0.2,4.1,27,0.0,4.1,0.0
"Cabbage, red, boiled in unsalted water",0.8,0.3,2.3,15,0.1,2.0,0.0
"Cabbage, red, cooked with apple",0.9,2.6,7.9,57,0.1,7.5,0.3
"Cabbage, red, raw",1.1,0.3,3.7,21,0.1,3.3,0.0
"Cabbage, white, boiled in unsalted water",0.8,0.1,3.2,16,0.0,3.2,0.0
"Cabbage, white, raw",1.2,0.1,4.8,24,0.0,4.8,0.0
"Cake bars, chocolate",5.0,21.6,57.5,430,15.0,41.5,29.4
Cake rusks,8.7,23.1,55.7,452,31.1,24.6,82.8
"Cake, battenberg, retail",4.4,9.9,65.9,354,9.1,56.8,5.9
"Cake, carrot, iced, retail",4.2,20.2,46.8,374,12.3,34.5,53.2
"Cake, carrot, with topping, homemade",4.0,21.1,37.7,346,13.9,23.7,36.9
"Cake, cherry, homemade",5.0,14.4,66.5,398,22.8,40.0,71.2
"Cake, chocolate fudge",5.2,14.3,55.7,358,11.3,43.5,33.0
"Cake, chocolate, not filled, homemade",7.3,24.1,51.3,438,22.8,28.5,97.1
"Cake, chocolate, with butter icing, homemade",5.8,25.2,53.8,452,18.2,35.7,92.7
"Cake, chocolate, with filling and icing, retail",4.5,23.7,48.6,413,12.0,36.6,55.2
"Cake, coconut, homemade",6.7,22.1,52.6,423,31.3,21.3,62.2
"Cake, fruit, retail",4.5,12.1,55.2,334,15.6,39.6,43.1
"Cake, fruit, rich, homemade",4.0,11.1,61.5,349,11.8,49.6,66.1
"Cake, fruit, rich, iced, homemade",3.7,9.6,67.0,355,8.1,58.9,44.5
"Cake, fruit, wholemeal, homemade",5.8,14.1,52.4,366,23.2,29.2,45.9
"Cake, lardy, homemade",6.7,15.7,53.7,369,43.8,10.0,15.5
"Cake, loaf, retail",3.3,11.0,56.2,323,22.7,33.5,7.8
"Cake, sponge, fatless, homemade",9.9,5.6,53.9,292,23.3,30.6,203.0
"Cake, sponge, homemade",6.4,26.4,53.1,463,22.8,30.3,160.7
"Cake, sponge, soft iced, retail",4.8,15.8,55.0,368,16.0,39.0,36.0
"Cake, sponge, with butter icing, homemade",4.5,27.3,56.2,476,16.2,40.0,135.4
"Cake, sponge, with dairy cream and jam, frozen",4.3,10.9,43.9,280,18.6,24.3,58.6
"Cake, sponge, with jam and butter cream, retail",3.7,14.8,55.1,354,17.5,37.6,76.0
"Cake, Swiss roll, homemade",7.4,4.2,58.4,286,16.2,42.2,151.1
"Cake, Swiss rolls, chocolate covered and filled, retail",4.5,22.7,51.0,414,9.8,41.2,43.8
Cakes from 'healthy eating' ranges,3.3,2.5,58.8,257,11.4,47.4,19.4
"Cakes, crispie, homemade",5.5,18.0,73.7,460,30.7,43.0,3.8
"Cakes, fancy iced, individual, retail",3.3,16.8,57.6,381,13.5,44.1,31.1
"Calamari, coated in batter, baked",8.5,17.5,25.9,288,25.9,Tr,85.0
"Callaloo and cho cho, homemade",1.9,6.6,2.6,77,0.1,2.2,10.8
"Callaloo and okra, homemade",1.8,6.4,2.2,73,0.2,1.9,10.4
"Cannelloni, spinach, homemade",5.2,6.9,15.4,140,13.3,2.0,N
"Cannelloni, vegetable, homemade",4.9,8.5,15.5,155,13.1,2.4,N
"Caramel bars and sweets, chocolate covered",4.2,23.6,70.2,493,Tr,56.0,12.6
Caraway seeds,19.8,14.6,N,N,N,N,0.0
"Carbonnade of Beef, homemade",12.7,6.5,5.2,134,1.8,2.7,39.0
"Cardamom, ground",10.8,6.7,N,N,N,N,0.0
"Carp, raw",17.5,4.7,0.0,112,0.0,0.0,67.0
Carrot juice,0.5,0.1,5.7,24,Tr,5.7,0.0
"Carrots, old, boiled in unsalted water",0.5,0.5,6.0,29,0.3,5.5,0.0
"Carrots, old, microwaved",0.6,0.2,7.5,32,Tr,7.2,0.0
"Carrots, old, raw",0.5,0.4,7.7,34,0.1,7.2,0.0
"Carrots, young, boiled in unsalted water",0.6,0.4,4.4,22,0.2,4.2,0.0
"Carrots, young, canned in water, re-heated, drained",0.5,0.3,4.2,20,0.4,3.7,0.0
"Carrots, young, raw",0.7,0.5,6.0,30,0.2,5.6,0.0
"Cashew fruit, flesh only",0.9,0.4,6.8,33,Tr,6.8,0.0
"Cashew nuts, kernel only, plain",17.7,48.2,18.1,573,13.5,4.6,0.0
"Cashew nuts, kernel only, roasted and salted",20.5,50.9,18.8,611,13.2,5.6,0.0
"Cassava, baked",0.7,0.2,40.1,155,38.5,1.6,0.0
"Cassava, boiled in unsalted water",0.5,0.2,33.5,130,32.1,1.4,0.0
"Cassava, frozen, raw",0.6,0.2,36.3,140,35.3,1.0,0.0
"Cassava, raw",0.6,0.2,36.8,142,35.3,1.5,0.0
"Cassava, steamed",0.6,0.2,36.8,142,35.3,1.5,0.0
"Casserole, bean and mixed vegetable, homemade",2.7,0.7,6.6,42,2.8,3.4,0.0
"Casserole, bean and root vegetable, homemade",3.0,0.6,8.4,48,4.8,3.2,0.0
"Casserole, beef, made with cook-in sauce",15.0,6.6,4.8,137,2.0,2.7,43.5
"Casserole, pork and apple, homemade",11.0,2.9,7.5,100,2.9,4.3,28.5
"Casserole, pork, made with cook-in sauce",17.0,7.9,4.0,154,1.7,2.3,49.9
"Casserole, rabbit, homemade",11.4,4.8,2.2,97,1.1,1.1,27.5
"Casserole, sausage, homemade",11.9,10.9,5.2,165,2.9,2.0,40.0
"Casserole, sweet potato and green banana, homemade",1.2,6.5,31.2,181,5.7,24.6,16.4
"Casserole, vegetable, homemade",2.1,0.4,10.6,52,5.3,5.1,0.0
"Catfish, flesh only, steamed",21.4,3.7,0.0,119,0.0,0.0,61.0
"Catfish, flesh only, steamed, weighed with bones",18.2,3.1,0.0,101,0.0,0.0,52.0
"Catfish, raw",17.6,2.8,0.0,96,0.0,0.0,46.0
"Cauliflower cheese, made with semi-skimmed milk, homemade",5.3,5.9,6.2,97,2.1,3.2,11.2
"Cauliflower cheese, made with skimmed milk, homemade",5.3,5.6,6.2,94,2.1,3.2,10.6
"Cauliflower cheese, made with whole milk, homemade",5.3,6.4,6.1,102,2.1,3.1,12.7
"Cauliflower cheese, retail",4.2,5.8,5.0,88,3.1,1.9,N
"Cauliflower in white sauce, made with semi-skimmed milk, homemade",2.7,3.2,6.0,63,2.0,3.3,7.3
"Cauliflower in white sauce, made with skimmed milk, homemade",2.8,2.8,6.0,58,2.0,3.3,6.5
"Cauliflower in white sauce, made with whole milk, homemade",2.7,4.2,6.2,72,2.2,3.2,10.0
"Cauliflower with onions and chilli pepper, homemade",1.8,3.4,4.6,55,Tr,3.3,0.0
"Cauliflower, boiled in unsalted water",1.9,0.9,3.5,29,Tr,2.4,0.0
"Cauliflower, raw",2.5,0.4,4.4,30,0.2,2.9,0.0
"Caviare, bottled in brine, drained",10.9,5.4,0.0,92,0.0,0.0,285.0
"Celeriac, boiled in unsalted water",0.9,0.5,1.9,15,0.4,1.5,0.0
"Celeriac, raw",1.2,0.4,2.3,18,0.5,1.8,0.0
Celery seeds,18.1,25.3,N,N,N,N,0.0
"Celery, boiled in unsalted water",0.3,0.1,0.8,5,Tr,0.8,0.0
"Celery, raw",0.5,0.1,1.4,9,Tr,1.4,0.0
"Cereal bars, with fruit and/or nuts, no chocolate, unfortified",5.6,10.7,62.9,354,28.6,34.3,5.9
"Cereal bars, with fruit and/or nuts, with chocolate, unfortified",6.0,18.3,66.0,436,25.3,40.7,11.3
"Chapatis, made with fat, retail",8.1,12.8,48.3,328,46.5,1.8,N
"Chapatis, made without fat",7.3,1.0,43.7,202,42.1,1.6,0.0
"Chard, Swiss, boiled in unsalted water",1.9,0.1,3.2,20,2.8,0.4,0.0
"Chard, Swiss, raw",1.8,0.2,2.9,19,2.3,0.6,0.0
"Cheese and onion rolls, pastry, retail",8.2,20.0,30.4,327,24.2,3.0,25.7
"Cheese pudding, homemade",10.6,9.3,11.7,170,8.6,3.1,100.6
"Cheese sauce, made with semi-skimmed milk, homemade",8.2,12.8,9.0,182,4.8,4.2,35.5
"Cheese sauce, made with skimmed milk, homemade",8.2,11.6,9.1,172,4.9,4.3,33.7
"Cheese sauce, made with whole milk, homemade",8.2,14.6,8.9,197,4.9,4.1,41.0
"Cheese sauce, packet mix, made up with semi-skimmed milk, homemade",5.8,5.2,9.7,106,4.5,5.3,N
"Cheese sauce, packet mix, made up with skimmed milk, homemade",5.6,2.4,9.2,79,3.9,5.3,N
"Cheese sauce, packet mix, made up with whole milk, homemade",5.5,5.7,9.0,108,3.9,5.1,N
"Cheese spread, plain",11.3,18.6,   6.5,237,0.0,   6.5,54.7
"Cheese spread, plain, reduced fat",15.0,7.2,7.9,154,0.6,7.3,N
"Cheese straws/twists, retail",14.1,30.3,48.3,510,46.6,1.6,71.4
"Cheese, Brie, rind only",16.5,26.4,,304,,,
"Cheese, Brie, with outer rind removed",20.3,29.1,Tr,343,0.0,Tr,93.0
"Cheese, Caerphilly",23.2,31.3,0.1,375,0.0,0.1,90.0
"Cheese, Camembert",21.5,22.7,Tr,290,0.0,Tr,71.8
"Cheese, Cheddar type, '30% less fat'",27.9,22.1,0.8,314,0.7,0.1,60.0
"Cheese, Cheddar type, half fat",32.7,15.8,Tr,273,0.0,Tr,43.0
"Cheese, Cheddar, English",25.4,34.9,0.1,416,0.0,0.1,97.0
"Cheese, cottage, plain",9.4,6.0,3.1,103,0.0,3.1,22.0
"Cheese, cottage, plain, reduced fat",10.6,1.5,3.3,68,0.0,3.3,5.0
"Cheese, Danish blue",20.5,28.9,Tr,342,0.0,Tr,75.0
"Cheese, Derby",24.2,33.9,0.1,402,0.0,0.1,100.0
"Cheese, Dolcelatte, rind removed",18.0,35.8,Tr,394,0.0,Tr,110.0
"Cheese, Double Gloucester",24.4,35.0,   0.1,413,0.0,   0.1,100.0
"Cheese, Edam",26.7,26.0,Tr,341,0.0,Tr,71.0
"Cheese, Emmental",30.2,30.9,Tr,399,0.0,Tr,97.0
"Cheese, Feta",15.6,20.2,1.5,250,0.0,1.5,70.0
"Cheese, goats milk, full fat, soft, white rind",21.1,25.8,1.0,320,0.0,1.0,93.0
"Cheese, Gouda",25.3,30.6,Tr,377,0.0,Tr,85.0
"Cheese, Gruyere",27.2,33.3,Tr,409,0.0,Tr,100.0
"Cheese, Halloumi",23.9,23.5,   1.7,313,0.0,   1.7,63.0
"Cheese, hard, average",24.9,34.5,0.1,411,0.0,0.1,99.0
"Cheese, Lancashire",24.1,31.7,0.1,382,0.0,0.1,93.0
"Cheese, Mascarpone",4.6,44.5,4.3,435,0.0,4.3,123.0
"Cheese, Mozzarella, fresh",18.6,20.3,Tr,257,0.0,Tr,58.0
"Cheese, Paneer",26.0,24.5,0.9,328,0.0,0.9,N
"Cheese, Parmesan, fresh",36.2,29.7,0.9,415,0.0,0.9,93.0
"Cheese, Port Salut, St Paulin type",25.5,25.7,Tr,333,0.0,Tr,84.0
"Cheese, processed, plain",17.8,23.0,5.0,297,0.0,5.0,85.0
"Cheese, processed, slices, reduced fat",16.7,9.6,9.7,190,2.1,7.6,35.0
"Cheese, processed, smoked",20.5,24.5,0.2,303,0.0,0.2,80.0
"Cheese, Quark",14.6,Tr,4.0,74,0.0,4.0,1.0
"Cheese, Red Leicester",25.0,33.6,   0.1,403,0.0,   0.1,100.0
"Cheese, Red Windsor",24.4,33.7,Tr,401,0.0,Tr,100.0
"Cheese, Ricotta",9.4,11.0,2.0,144,Tr,2.0,50.0
"Cheese, Roquefort",19.7,32.9,Tr,375,0.0,Tr,90.0
"Cheese, Sage Derby",24.2,33.9,0.1,402,0.0,0.1,100.0
"Cheese, spreadable, full fat, soft, white",5.3,24.4,3.0,252,0.0,3.0,72.0
"Cheese, spreadable, medium fat, soft, white",9.8,11.2,3.5,153,0.0,3.5,33.0
"Cheese, spreadable, soft white, low fat",11.9,3.6,5.0,99,0.0,5.0,10.6
